Waypoint,swing_to_boom_pos,boom_to_arm_pos,arm_to_bucket_pos,swing_to_boom_vel,boom_to_arm_vel,arm_to_bucket_vel,time_from_start_s
253,0.114653,-0.299501,-0.24714,0.00261304,0.00276204,-0.04,25.3
254,0.114914,-0.299225,-0.25114,0.00261304,0.00276204,-0.04,25.4
255,0.115175,-0.298949,-0.25514,0.00261304,0.00276204,-0.04,25.5
256,0.115437,-0.298673,-0.25914,0.00261304,0.00276204,-0.04,25.6
257,0.115698,-0.298397,-0.26314,0.00261304,0.00276204,-0.04,25.7
258,0.115959,-0.29812,-0.26714,0.00261304,0.00276204,-0.04,25.8
259,0.116221,-0.297844,-0.27114,0.00261304,0.00276204,-0.04,25.9
260,0.116482,-0.297568,-0.27514,0.00261304,0.00276204,-0.04,26
261,0.116743,-0.297292,-0.27914,0.00261304,0.00276204,-0.04,26.1
262,0.117004,-0.297016,-0.28314,0.00261304,0.00276204,-0.04,26.2
263,0.117266,-0.296739,-0.28714,0.00261304,0.00276204,-0.04,26.3
264,0.117527,-0.296463,-0.29114,0.00261304,0.00276204,-0.04,26.4
265,0.117788,-0.296187,-0.29514,0.00261304,0.00276204,-0.04,26.5
266,0.11805,-0.295911,-0.29914,0.00261304,0.00276204,-0.04,26.6
267,0.118311,-0.295635,-0.30314,0.00261304,0.00276204,-0.04,26.7
268,0.118572,-0.295358,-0.30714,0.00261304,0.00276204,-0.04,26.8
269,0.118834,-0.295082,-0.31114,0.00261304,0.00276204,-0.04,26.9
270,0.119095,-0.294806,-0.31514,0.00261304,0.00276204,-0.04,27
271,0.119356,-0.29453,-0.31914,0.00261304,0.00276204,-0.04,27.1
272,0.119618,-0.294254,-0.32314,0.00261304,0.00276204,-0.04,27.2
273,0.119879,-0.293977,-0.32714,0.00261304,0.00276204,-0.04,27.3
274,0.12014,-0.293701,-0.33114,0.00261304,0.00276204,-0.04,27.4
275,0.120401,-0.293425,-0.33514,0.00261304,0.00276204,-0.04,27.5
276,0.120663,-0.293149,-0.33914,0.00261304,0.00276204,-0.04,27.6
277,0.120924,-0.292873,-0.34314,0.00261304,0.00276204,-0.04,27.7
278,0.121185,-0.292596,-0.34714,0.00261304,0.00276204,-0.04,27.8
279,0.121447,-0.29232,-0.35114,0.00261304,0.00276204,-0.04,27.9
280,0.121708,-0.292044,-0.35514,0.00261304,0.00276204,-0.04,28
281,0.121969,-0.291768,-0.35914,0.00261304,0.00276204,-0.04,28.1
282,0.122231,-0.291492,-0.36314,0.00261304,0.00276204,-0.04,28.2
283,0.122492,-0.291215,-0.36714,0.00261304,0.00276204,-0.04,28.3
284,0.122753,-0.290939,-0.37114,0.00261304,0.00276204,-0.04,28.4
285,0.123014,-0.290663,-0.37514,0.00261304,0.00276204,-0.04,28.5
286,0.123276,-0.290387,-0.37914,0.00261304,0.00276204,-0.04,28.6
287,0.123537,-0.290111,-0.38314,0.00261304,0.00276204,-0.04,28.7
288,0.123798,-0.289834,-0.38714,0.00261304,0.00276204,-0.04,28.8
289,0.12406,-0.289558,-0.39114,0.00261304,0.00276204,-0.04,28.9
290,0.124321,-0.289282,-0.39514,0.00261304,0.00276204,-0.04,29
291,0.124582,-0.289006,-0.39914,0.00261304,0.00276204,-0.04,29.1
292,0.124844,-0.288729,-0.40314,0.00261304,0.00276204,-0.04,29.2
293,0.125105,-0.288453,-0.40714,0.00261304,0.00276204,-0.04,29.3
294,0.125366,-0.288177,-0.41114,0.00261304,0.00276204,-0.04,29.4
295,0.125627,-0.287901,-0.41514,0.00261304,0.00276204,-0.04,29.5
296,0.125889,-0.287625,-0.41914,0.00261304,0.00276204,-0.04,29.6
297,0.12615,-0.287348,-0.42314,0.00261304,0.00276204,-0.04,29.7
298,0.126411,-0.287072,-0.42714,0.00261304,0.00276204,-0.04,29.8
299,0.126673,-0.286796,-0.43114,0.00261304,0.00276204,-0.04,29.9
300,0.126934,-0.28652,-0.43514,0.00261304,0.00276204,-0.04,30
301,0.127195,-0.286244,-0.43914,0.00261304,0.00276204,-0.04,30.1
302,0.127457,-0.285967,-0.44314,0.00261304,0.00276204,-0.04,30.2
303,0.127718,-0.285691,-0.44714,0.00261304,0.00276204,-0.04,30.3
304,0.127979,-0.285415,-0.45114,0.00261304,0.00276204,-0.04,30.4
305,0.128241,-0.285139,-0.45514,0.00261304,0.00276204,-0.04,30.5
306,0.128502,-0.284863,-0.45914,0.00261304,0.00276204,-0.04,30.6
307,0.128763,-0.284586,-0.46314,0.00261304,0.00276204,-0.04,30.7
308,0.129024,-0.28431,-0.46714,0.00261304,0.00276204,-0.04,30.8
309,0.129286,-0.284034,-0.47114,0.00261304,0.00276204,-0.04,30.9
310,0.129547,-0.283758,-0.47514,0.00261304,0.00276204,-0.04,31
311,0.129808,-0.283482,-0.47914,0.00261304,0.00276204,-0.04,31.1
312,0.13007,-0.283205,-0.48314,0.00261304,0.00276204,-0.04,31.2
313,0.130331,-0.282929,-0.48714,0.00261304,0.00276204,-0.04,31.3
314,0.130592,-0.282653,-0.49114,0.00261304,0.00276204,-0.04,31.4
315,0.130854,-0.282377,-0.49514,0.00261304,0.00276204,-0.04,31.5
316,0.131115,-0.282101,-0.49914,0.00261304,0.00276204,-0.04,31.6
317,0.131376,-0.281824,-0.50314,0.00261304,0.00276204,-0.04,31.7
318,0.131637,-0.281548,-0.50714,0.00261304,0.00276204,-0.04,31.8
